Lugar,ID,Tipo,Direccion
Centro,AN,EM,Soriano y Santiago de Chile
Punta Carretas,PC,EM,Cno. al Faro de Punta Carretas
Carrasco,AL,P,Av. Acosta y Lara y F. Garcia Lorca
Curva de Maronas,CCZ9,EM,Av. 8 de Octubre y Marcos Sastre
La Blanqueada,LP,PA,Lucas Piriz y Quijote
Prado,MB,PA,Av. Millan y Rbla. Francisco Lavalleja
Lezica,PA,P,Cno. Hilario Cabrera prox. Ruta 102
Casavalle,PCV,P,Cno. General Leandro Gomez y Dr. Jose Martirene
Capurro,MI,P,Rbla. B. Brum y arroyo Miguelete
Malvin,EBCO,P,Av. Colombes y Rbla. Republica de Chile
La Esperanza,EBLE,P,Av. Del Parque y Pasaje 9
Santiago Vazquez,EBSV,P,Guazunambi y La Barra
Manga,EBMA,P,Cno. al Paso del Andaluz y Av. de las Instrucciones
Cerro,EBCE,P,Egipto y Barcelona
Colon,EBCN,EM,M. Arregui y C.6 Verdisol
Paso de la Arena,EBSA,EM,Pintin Castellanos y Candales
Chacarita,EBNC,P,Senda 3 y Senda 4
Pta.Yeguas,PY,P,Cno. Burdeos y Cno. Ferres
Ejido y La Paz (id 109681),,SN,Ejido esq. La Paz
Amezaga (id 116560),,SN,Amezaga esq. Ramon de Valle Inclan
