,MI,AL,PCV,AN,EBCE,EBNC,EBCN,CCZ9,LP,EBLE,PA,EBCO,EBMA,EBSA,MB,PY,PC,EBSV
MI,1.0,0.99,,0.98,1.0,,-0.13,0.98,0.99,,-0.09,0.98,0.98,1.0,1.0,1.0,-0.12,1.0
AL,,1.0,,0.97,1.0,,-0.1,0.99,0.99,,-0.06,0.99,0.99,0.99,1.0,0.99,-0.11,0.99
PCV,,,,,,,,,,,,,,,,,,
AN,,,,1.0,0.99,,-0.12,0.99,0.99,,-0.07,0.99,0.99,0.99,0.98,0.99,-0.03,0.99
EBCE,,,,,1.0,,-0.13,0.99,0.99,,-0.08,0.99,0.99,1.0,1.0,1.0,-0.1,1.0
EBNC,,,,,,,,,,,,,,,,,,
EBCN,,,,,,,1.0,-0.09,-0.11,,0.98,-0.08,-0.11,-0.12,-0.09,-0.14,0.64,-0.12
CCZ9,,,,,,,,1.0,1.0,,-0.04,1.0,1.0,0.99,0.99,0.99,-0.04,1.0
LP,,,,,,,,,1.0,,-0.07,1.0,1.0,0.99,0.99,0.99,-0.06,1.0
EBLE,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,1.0,-0.04,-0.07,-0.08,-0.05,-0.09,0.69,-0.08
EBCO,,,,,,,,,,,,1.0,1.0,0.99,0.99,0.99,-0.04,0.99
EBMA,,,,,,,,,,,,,1.0,0.99,0.99,0.99,-0.06,0.99
EBSA,,,,,,,,,,,,,,1.0,1.0,1.0,-0.1,1.0
MB,,,,,,,,,,,,,,,1.0,1.0,-0.09,1.0
PY,,,,,,,,,,,,,,,,1.0,-0.12,1.0
PC,,,,,,,,,,,,,,,,,1.0,-0.1
EBSV,,,,,,,,,,,,,,,,,,1.0
