Dia,MI,AL,PCV,AN,EBCE,EBNC,EBCN,CCZ9,LP,EBLE,PA,EBCO,EBMA,EBSA,MB,PY,PC,EBSV
01-08-2026,48.52,0.0,0.25,32.51,45.21,38.36,0.0,39.11,49.02,44.96,0.0,38.35,1.02,23.37,55.62,92.2,0.0,49.27
02-08-2026,3.04,0.0,0.0,5.34,5.08,3.81,0.0,3.56,3.55,4.57,0.0,3.81,0.0,0.0,3.3,6.86,0.0,4.57
03-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-08-2026,1.02,0.0,0.0,1.02,1.52,0.0,0.0,0.25,0.51,2.03,0.0,0.5,0.0,0.0,0.51,3.3,0.0,0.51
05-08-2026,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.26,0.25,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
06-08-2026,6.35,0.0,0.25,4.57,9.65,6.86,0.0,9.14,6.35,12.19,0.0,7.37,0.0,1.27,6.86,8.89,0.0,10.92
07-08-2026,49.53,0.0,0.51,20.32,44.7,38.86,0.0,22.35,37.85,32.0,0.0,35.56,0.0,0.0,36.58,65.28,4.57,44.7
08-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09-08-2026,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-08-2026,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
17-08-2026,0.0,0.0,0.0,0.25,0.25,8.13,0.0,2.04,0.51,9.91,0.0,0.51,0.0,0.0,0.25,0.0,0.0,0.25
18-08-2026,0.76,0.0,0.0,1.27,2.29,7.11,15.24,2.79,2.79,4.32,0.0,2.54,0.0,0.0,2.79,1.52,0.0,4.57
19-08-2026,0.0,0.0,0.0,0.0,0.26,0.51,21.08,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
20-08-2026,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-08-2026,0.51,0.0,0.0,0.0,0.51,0.0,1.77,0.25,0.0,0.51,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25
22-08-2026,0.25,0.0,0.76,0.0,1.27,0.76,2.79,0.51,0.51,0.76,0.5,0.76,1.02,0.0,0.25,0.51,0.0,0.0
23-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
24-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27-08-2026,0.25,0.0,0.0,0.25,0.76,0.25,2.79,0.0,0.51,0.25,0.25,0.25,0.0,0.51,0.25,0.51,0.0,0.0
28-08-2026,0.26,0.0,0.0,0.26,0.26,0.77,36.83,0.0,0.0,0.77,0.26,0.26,0.51,0.0,0.0,0.76,0.0,0.0
29-08-2026,0.0,0.0,0.25,0.0,0.0,0.0,18.29,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-08-2026,0.0,0.0,0.25,0.0,0.0,0.25,3.06,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
31-08-2026,0.0,0.0,0.0,0.0,0.0,0.0,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
