,MI,AL,PCV,AN,EBCE,EBNC,EBCN,CCZ9,LP,EBLE,PA,EBCO,EBMA,EBSA,MB,PY,PC,EBSV,INUMET
MI,1.0,-0.07,0.45,0.96,1.0,0.98,-0.21,0.95,0.99,0.96,-0.11,1.0,0.4,0.68,0.97,0.98,0.7,0.99,0.99
AL,,1.0,-0.11,-0.07,-0.08,-0.08,-0.14,-0.08,-0.07,-0.09,-0.07,-0.07,-0.07,-0.05,-0.07,-0.07,-0.04,-0.07,-0.09
PCV,,,1.0,0.37,0.46,0.43,-0.19,0.38,0.42,0.39,0.5,0.45,0.57,0.17,0.39,0.4,0.44,0.44,0.43
AN,,,,1.0,0.97,0.95,-0.22,0.99,0.99,0.98,-0.12,0.98,0.5,0.83,1.0,0.99,0.49,0.98,0.99
EBCE,,,,,1.0,0.98,-0.23,0.96,0.99,0.97,-0.1,1.0,0.41,0.69,0.98,0.98,0.68,1.0,0.99
EBNC,,,,,,1.0,-0.21,0.95,0.98,0.98,-0.12,0.99,0.39,0.67,0.96,0.96,0.68,0.98,0.98
EBCN,,,,,,,1.0,-0.23,-0.21,-0.24,0.19,-0.22,0.08,-0.15,-0.21,-0.21,-0.14,-0.22,-0.27
CCZ9,,,,,,,,1.0,0.98,0.99,-0.12,0.97,0.52,0.85,0.99,0.98,0.45,0.97,0.98
LP,,,,,,,,,1.0,0.98,-0.11,0.99,0.47,0.78,1.0,1.0,0.58,0.99,1.0
EBLE,,,,,,,,,,1.0,-0.13,0.97,0.46,0.78,0.98,0.97,0.53,0.98,0.99
PA,,,,,,,,,,,1.0,-0.11,0.64,-0.07,-0.11,-0.11,-0.07,-0.13,-0.14
EBCO,,,,,,,,,,,,1.0,0.43,0.71,0.98,0.99,0.65,1.0,1.0
EBMA,,,,,,,,,,,,,1.0,0.64,0.5,0.49,-0.07,0.42,0.45
EBSA,,,,,,,,,,,,,,1.0,0.83,0.81,-0.05,0.72,0.76
MB,,,,,,,,,,,,,,,1.0,1.0,0.52,0.98,0.99
PY,,,,,,,,,,,,,,,,1.0,0.55,0.99,0.99
PC,,,,,,,,,,,,,,,,,1.0,0.64,0.59
EBSV,,,,,,,,,,,,,,,,,,1.0,1.0
INUMET,,,,,,,,,,,,,,,,,,,1.0
