ID,Lugar,Total desde el crudo (mm),Descartado por outlier (mm),Total tabla diaria (mm),Diferencia (mm)
MI,Capurro,110.49,0.0,110.49,0.0
AL,Carrasco,0.51,0.0,0.51,0.0
PCV,Casavalle,2.52,0.0,2.52,0.0
AN,Centro,65.79,0.0,65.79,-0.0
EBCE,Cerro,111.76,0.0,111.76,-0.0
EBNC,Chacarita,106.17,0.0,106.17,-0.0
EBCN,Colón,184.64,26.92,157.72,-0.0
CCZ9,Curva de Maroñas,80.51,0.0,80.51,-0.0
LP,La Blanqueada,101.85,0.0,101.85,-0.0
EBLE,La Esperanza,113.02,0.0,113.02,0.0
PA,Lezica,1.01,0.0,1.01,0.0
EBCO,Malvín,90.92,0.0,90.92,-0.0
EBMA,Manga,2.55,0.0,2.55,0.0
EBSA,Paso de la Arena,25.65,0.0,25.65,-0.0
MB,Prado,106.66,0.0,106.66,0.0
PY,Pta.Yeguas,179.83,0.0,179.83,0.0
PC,Punta Carretas,4.57,0.0,4.57,0.0
EBSV,Santiago Vázquez,115.04,0.0,115.04,-0.0
